1,1강 1,accounting,"경리, 회계(학)"
2,,happen to do,(우연히) ~하다
3,,look to do,~하려고 하다[애쓰다]
4,,promote,승진시키다， 진급시키다
5,,on time,시간을 지키는
6,,obvious,쉽게 알 수 있는， 명백한
7,,the rest,나머지， 다른 사람들[것들]
8,,deserve,"~을 받을 만하다, ~할 자격이 있다"
9,,,
10,2,leave of absence,휴가
11,,duty,"직무, 의무"
12,,hence,그러므로， 이런 이유로
13,,in turn,결과적으로
14,,unfortunate,유감스러운， 불행한
15,,put ~ on hold,~을 보류하다
16,,fulfill,다하다， 이행하다
17,,tolerate,용인하다， 너그럽게 보아주다
18,,,
19,3,graphene,그래핀(탄소 원자들로 이루어진 얇은 막)
20,,transparent,투명한
21,,chemistry,화학
22,,major,(특정 분야를) 전공하는 학생， (특정 과목의 전공자
23,,introductory,입문의， 도입의
24,,coursework,수업 활동
25,,pursue,해나가다， 추구하다
26,,undergraduate,학부생， 대학생
27,,potential,잠재적인. 가능성이 있는
28,,application,응용， 적용
29,,fascinate,매료하다， 매혹시키다
30,,utilize,활용하다
31,,flexible,신축성 있는
32,,virtually,거의， 사실상
33,,electrical power,전력
34,,,
35,4,gratitude,감사
36,,insurance policy,보험 증권[증서]
37,,application,신청(서)
38,,approve,승인하다
39,,available,이용 가능한
40,,currently,현재
41,,work on,~에 애쓰다
42,,bring - back,~을 다시 도입하다
43,,on hold,보류된
44,,reference,참조， 참고
45,,approval,승인
46,,take out a policy,보험에 가입하다
47,,appreciate,~에 대해 감사하다
48,,,
49,2강 2,cover,피난처
50,,sagebrush,산쑥
51,,crouch down,웅크리고 앉다
52,,foothill,산기슭의 작은 언덕
53,,front,(기상) 전선
54,,exposed,비바람을 맞는
55,,hillside,산비탈
56,,make it to,~에 이르다， 도착하다
57,,blizzard,눈보라
58,,slope,산비탈
59,,vegetated,초목이 있는
60,,timbered,수목이 무성한
61,,bare,(산 등이) 헐벗은
62,,steep,가파른
63,,slippery,미끄러운
64,,,
65,2,advance,"선금, 선불"
66,,setback,좌절
67,,quizzically,어리둥절하여
68,,look forward to,~을 고대하다
69,,promising,잘될 것 같은， 기대가 되는
70,,figure,생각나다
71,,bounce back from,~을 딛고 일어서다
72,,triumph,승리하다
73,,shatter,산산이 부수다
74,,melt,녹다
75,,stare,뻔히 쳐다보다
76,,forehead,머리 앞부분， 이마
77,,intention,의사， 의도
78,,actually,실제로
79,,,
80,3,garment,옷
81,,beeswax,밀랍
82,,innocent,순진한， 천진난만한
83,,against the odds,역경을 무릅쓰고
84,,inherit,물려받다， 상속하다
85,,sensation,느낌
86,,faintly,희미하게
87,,features,얼굴， 용모
88,,circumstance,사정， 형편， 상황
89,,,
90,4,benefit from,~으로부터 도움을 받다， 이익을 얻다
91,,instantly,"즉각적으로, 곧장"
92,,fall apart,무너지다
93,,verbalize,말로 표현하다
94,,boundary,한계， 경계(선)
95,,spiral,급속도로 걷잡을 수 없이 악화되다， 소용돌이 모양으로 나아가다
96,,supportive,지지하는. 도와주는
97,,minimize,과소평가하다， 경시하다
98,,grow up,철이 들다
99,,magically,마법에 걸린 듯이， 마법처럼
100,,perspective,관점
101,,demonstrate,보여 주다， 입증하다
102,,understanding of,~에 대해 이해심이 있는
103,,adjust to,~에 적응하다
104,,,
105,3강 1,accomplishment,성취
106,,scorebook,득점 기록부， 스코어 북
107,,spectacular,멋진， 굉장한， 극적인
108,,diving catch,(야구) 다이빙 캐치
109,,have game,수준 높은 경기력[기술]을 가지다
110,,get by,그럭저럭 살아{해] 나가다
111,,base hit,안타
112,,all-star,(일류 선수 · 인기 연예인 등) 올스타전에 나오는 선수; 스타 총출전의
113,,legendary,전설적인， 아주 유명한
114,,self-respect,자존감， 자존심
115,,,
116,2,sabotage,(고의로) 방해하다
117,,Texas Ranger,텍사스㈜ 기마 경관
118,,irrational,비합리적인
119,,generous,관대한
120,,quality,자질
121,,admire,감탄하다
122,,emotional,정서적인， 감정적인
123,,intellectual,지적인
124,,Inspire,고무하다
125,,deed,행동
126,,rugged,다부지게 생긴
127,,eventually,결국
128,,make one's fortune,거금을 벌다
129,,cattle drive,소몰이
130,,personally,직접， 개인적으로
131,,incredible,대단한， 믿기 어려운
132,,sacrifice,희생
133,,ship,수송하다
134,,argument,주장
135,,charm,매력
136,,,
137,3,unique,고유한， 유일한， 독특한
138,,cosmos,우주
139,,theorize,이론화하다
140,,distinguished,저명한
141,,anthropologist,인류학자
142,,surround,둘러싸다
143,,institution,제도
144,,,
145,4,scuffed,흠집이 난
146,,bounty,선물
147,,shoe shine,구두 닦기
148,,avail oneself of,~을 이용하다
149,,distinctly,참으로， 정말로
150,,indebted,신세를 진， 빚을 진
151,,even the score,빚을 청산하다
152,,shoe tree,구두의 글
153,,polish,광택제
154,,,
155,4강 1,germicide,살균제
156,,deplane,(비행기에서) 내리다
157,,cockpit crew,운항 승무원
158,,rite,의례， 의식. 관례
159,,profession,직업
160,,observe,지키다， 준수하다
161,,distinctive,독특한
162,,superficial,무의미한， 피상적인
163,,knit,결속하다
164,,appropriate,적절한
165,,frame of mind,마음(의) 자세， 사고방식
166,,physician,의사， 내과 의사
167,,scrub,(외과의가) 수술 전에 손을 문질러 씻다; 문질러 씻기
168,,surgical,수술의
169,,procedure,수술. 절차
170,,prolonged,오랫동안의， 장기간의
171,,open to question,의문의 여지가 있는
172,,advent,등장. 출현
173,,delicate,신중을 요하는， 민감한
174,,undeniable,부인할 수 없는， 명백한
175,,first officer,부기장， 부조종사
176,,conduct,실시하다， 집행하다
177,,inspection,점검， 검사
178,,awesome,엄청난
179,,responsibility,책무， 책임
180,,destination,목적지
181,,,
182,2,besetting sin,지속적인 잘못
183,,provoke,"~을 유발하다, 야기하다"
184,,performance-focused,성과 중심의
185,,misguided,잘못 이해한[판단한]
186,,dogged,끈질긴， 완고한
187,,disapproval,비난， 못마땅함
188,,motivation,열의， 동기
189,,criticize,비난하다
190,,excessive,지나친. 과도한
191,,discourage (~from -ing),(~가 ... 할) 의욕[열의]을 꺾다， 막다
192,,paternal,아버지의
193,,appreciate,환영하다， 고마원하다
194,,contaminate,~에 나쁜 영흔떨 미치다
195,,resentment,분노
196,,fault,비난하다， 나무라다
197,,dissatisfaction,불만족
198,,,
199,3,foreign,생소한， 이질적인
200,,a range of,다양한
201,,white-coated,흰 상의를 입은， 흰 웃옷을 입은
202,,reaction,반응， 대응
203,,statement,표현. 진술
204,,equally,마찬가지로， 동시에
205,,,
206,4,civic,"시민의, 도시의"
207,,individualism,개인주의
208,,moderate,절제하다， 조절하다
209,,involvement,관계를 맺음， 관여
210,,philosophy,주의， 인생관
211,,convenience,펀리， 편의
212,,appreciation,이해
213,,mute,약화하다
214,,trait,자질， 특성
215,,deprive ~ of...,~에게서 …을 빼앗다
216,,personally,개별적으로， 직접
217,,anymore,(부정문에서) 이제는， 더 이상
218,,replace,대체하다
219,,perception,인식， 자각
220,,relativity,상대성， 관련성
221,,inherent,"내재하는, 타고난"
222,,undue,과도한. 지나친
223,,rotate,선회하다， 호회전하다
224,,concept,개념
225,,,
226,5,prevalence,만연
227,,fuzzy,애매한
228,,conscious ,의식적인
229,,require,습득하다
230,,by axxident,우연히
231,,rigid,경직된
232,,cross section,단면
233,,,
234,6,replicate,반복하다
235,,term,용어
236,,statistical significance,통계적 유의미성
237,,unfortunate,적절하지 않은， 부적당한
238,,refer to,~을 나타내다
239,,reliably,신뢰할 만하게
240,,occur,발생하다
241,,conduct,행하다
242,,similar,유사한
243,,manner,방식
244,,phrase,말， 어구
245,,assume,추정하다
246,,depending on,~에 따라서
247,,measure,척도
248,,reliability,신뢰도
249,,interpret,해석하다
250,,correctly,정확하게
251,,ensure,툴림없이 ~하게 하다
252,,organization,조직
253,,represent,대표하다
254,,,
255,7,sanity,온전한 정신
256,,free hand,자유재량
257,,grove,(작은) 숲
258,,wilderness,야생 구역
259,,existence,존속， 생존
260,,perceive,인지하다
261,,require,필요로 하다
262,,semiprivate,반사적(半私的)인， 반사용(半私用)의
263,,occupy,차지하다
264,,lot,부지， 지역
265,,function as,~역할을 하다， 기능을 하다
266,,intend,의도하다
267,,,
268,8,squarely,정면으로
269,,head-on,정면으로
270,,process,과정
271,,promotion ,승진
272,,improve,향상하다， 개선하다
273,,seriously,진지하게
274,,treatment,치료법
275,,specialist,전문가
276,,remedy,치료법
277,,prescribe,처방하다
278,,severe,심각한
279,,beneficial,득이 되는
280,,accordingly,그에 맞추어
281,,,
282,5강 1,duct,덕트(공기와 같은 유체가 흐르는 통로)
283,,drafty,외풍이 있는
284,,draperies,긴 커튼
285,,ideal,이상적인
286,,order,순서
287,,preserve,보호하다， 유지하다
288,,instrument,악기
289,,acoustically,음항적으로， 청각적으로
290,,aesthetically,미적으로
291,,ray,광선， 빛살
292,,return (duct),순환 덕트
293,,emergency,비상사태， 위급
294,,waterproof,방수의
295,,include,포함하다
296,,acoustical,음향의， 청각의
297,,consideration,고려 (사항)
298,,thick,두꺼운
299,,wall-to-wall,바닥 전면을 덮는
300,,heavy,(직물 재질이) 두꺼운
301,,sound-absorbing,소리를 흡수하는
302,,,
303,2,submissive,"순종적인, 고분고분한"
304,,theorist,이론가
305,,entrance requirement,진입[입학] 요건
306,,retreat,후퇴
307,,associate,연관시키다
308,,circumstance,상황
309,,retreat,후퇴
310,,associate,연관시키다
311,,circumstance,상황
312,,independence,독립
313,,assertiveness,자기주장이 강함， 단정적임
314,,persistence,끈기
315,,aggressiveness,적극성， 진취
316,,confront,맞서다
317,,perception,지각， 자각
318,,status,지위
319,,optimistic,낙관적인
320,,outcome,결과
321,,pesslmlsm,비관주의
322,,powerless,무력한， 힘없는
323,,,
324,3,theology,"종교적 믿음, 신학"
325,,distorted,왜곡된
326,,attain,얻다
327,,lottery,복권
328,,works,(의로운) 행위， (종교적 · 도덕적) 행위
